title,address,bed,bath,toilet,pkn_space,price
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"120,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"125,000,000"
5 bedroom terraced duplex for sale,"Idado, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"65,000,000"
5 bedroom terraced duplex for sale,"Osapa, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"77,000,000"
4 bedroom semi-detached duplex for sale,"Ikate Elegushi, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,Save,"125,000,000"
3 bedroom semi-detached duplex for sale,"Bogije, Ibeju Lekki, Lagos",3Bedrooms,3Bathrooms,4Toilets,450sqmCovered Area,"33,000,000"
2 bedroom block of flats for sale,"Signature Apartment, Lekki - Epe Express, Abijo, Lekki, Lagos",2Bedrooms,3Bathrooms,3Toilets,Save,"27,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,5Toilets,4Parking Spaces,"105,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"110,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,3Parking Spaces,"97,000,000"
5 bedroom detached duplex for sale,"Parkview, Ikoyi, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"600,000,000"
5 bedroom detached duplex for sale,"Off Banana Island Road, Ikoyi, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"550,000,000"
5 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"250,000,000"
4 bedroom terraced duplex for sale,"Phase Ii, Gbagada, Lagos",4Bedrooms,Save,,,"53,000,000"
4 bedroom detached duplex for sale,"Lekki County, Ikota, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,5Parking Spaces,"75,000,000"
4 bedroom semi-detached duplex for sale,"Idado, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,Save,"75,000,000"
5 bedroom detached duplex for sale,"Chevron, Tollgate., Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"170,000,000"
5 bedroom detached duplex for sale,"Chevy View Estate, Lekki Expressway, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,6Parking Spaces,"85,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"120,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"125,000,000"
5 bedroom terraced duplex for sale,"Idado, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"65,000,000"
5 bedroom terraced duplex for sale,"Osapa, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"77,000,000"
4 bedroom semi-detached duplex for sale,"Ikate Elegushi, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,Save,"125,000,000"
3 bedroom semi-detached duplex for sale,"Bogije, Ibeju Lekki, Lagos",3Bedrooms,3Bathrooms,4Toilets,450sqmCovered Area,"33,000,000"
2 bedroom block of flats for sale,"Signature Apartment, Lekki - Epe Express, Abijo, Lekki, Lagos",2Bedrooms,3Bathrooms,3Toilets,Save,"27,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,5Toilets,4Parking Spaces,"105,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"110,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,3Parking Spaces,"97,000,000"
5 bedroom detached duplex for sale,"Parkview, Ikoyi, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"600,000,000"
5 bedroom detached duplex for sale,"Off Banana Island Road, Ikoyi, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"550,000,000"
5 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"250,000,000"
4 bedroom terraced duplex for sale,"Phase Ii, Gbagada, Lagos",4Bedrooms,Save,,,"53,000,000"
4 bedroom detached duplex for sale,"Lekki County, Ikota, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,5Parking Spaces,"75,000,000"
4 bedroom semi-detached duplex for sale,"Idado, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,Save,"75,000,000"
5 bedroom detached duplex for sale,"Chevron, Tollgate., Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"170,000,000"
5 bedroom detached duplex for sale,"Chevy View Estate, Lekki Expressway, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,6Parking Spaces,"85,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"120,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"125,000,000"
5 bedroom terraced duplex for sale,"Idado, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"65,000,000"
5 bedroom terraced duplex for sale,"Osapa, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"77,000,000"
4 bedroom semi-detached duplex for sale,"Ikate Elegushi, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,Save,"125,000,000"
3 bedroom semi-detached duplex for sale,"Bogije, Ibeju Lekki, Lagos",3Bedrooms,3Bathrooms,4Toilets,450sqmCovered Area,"33,000,000"
2 bedroom block of flats for sale,"Signature Apartment, Lekki - Epe Express, Abijo, Lekki, Lagos",2Bedrooms,3Bathrooms,3Toilets,Save,"27,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,5Toilets,4Parking Spaces,"105,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"110,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,3Parking Spaces,"97,000,000"
5 bedroom detached duplex for sale,"Parkview, Ikoyi, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"600,000,000"
5 bedroom detached duplex for sale,"Off Banana Island Road, Ikoyi, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"550,000,000"
5 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"250,000,000"
4 bedroom terraced duplex for sale,"Phase Ii, Gbagada, Lagos",4Bedrooms,Save,,,"53,000,000"
4 bedroom detached duplex for sale,"Lekki County, Ikota, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,5Parking Spaces,"75,000,000"
4 bedroom semi-detached duplex for sale,"Idado, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,Save,"75,000,000"
5 bedroom detached duplex for sale,"Chevron, Tollgate., Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"170,000,000"
5 bedroom detached duplex for sale,"Chevy View Estate, Lekki Expressway, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,6Parking Spaces,"85,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"120,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"125,000,000"
5 bedroom terraced duplex for sale,"Idado, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"65,000,000"
5 bedroom terraced duplex for sale,"Osapa, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"77,000,000"
4 bedroom semi-detached duplex for sale,"Ikate Elegushi, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,Save,"125,000,000"
3 bedroom semi-detached duplex for sale,"Bogije, Ibeju Lekki, Lagos",3Bedrooms,3Bathrooms,4Toilets,450sqmCovered Area,"33,000,000"
2 bedroom block of flats for sale,"Signature Apartment, Lekki - Epe Express, Abijo, Lekki, Lagos",2Bedrooms,3Bathrooms,3Toilets,Save,"27,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,5Toilets,4Parking Spaces,"105,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"110,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,3Parking Spaces,"97,000,000"
5 bedroom detached duplex for sale,"Parkview, Ikoyi, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"600,000,000"
5 bedroom detached duplex for sale,"Off Banana Island Road, Ikoyi, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"550,000,000"
4 bedroom detached duplex for sale,"Ikota Villa Estate, Ikota, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,3Parking Spaces,"55,000,000"
3 bedroom terraced duplex for sale,"Chevron, Lekki, Lagos",3Bedrooms,3Bathrooms,4Toilets,Save,"44,000,000"
5 bedroom detached duplex for sale,"Chevy View Estate, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"120,000,000"
4 bedroom semi-detached duplex for sale,"Off Orchid Hotel Road, Lekki Phase 2, Lekki, Lagos",4Bedrooms,5Bathrooms,5Toilets,3Parking Spaces,"70,000,000"
3 bedroom terraced duplex for sale,"Ibeshe, Ikorodu, Lagos",3Bedrooms,3Bathrooms,3Toilets,Save,"20,000,000"
5 bedroom semi-detached duplex for sale,"Banana Island, Ikoyi, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"650,000,000"
4 bedroom terraced duplex for sale,"Victoria Island (VI), Lagos",4Bedrooms,5Bathrooms,5Toilets,Save,"140,000,000"
4 bedroom terraced duplex for sale,"Ikate Elegushi, Lekki, Lagos",4Bedrooms,5Bathrooms,5Toilets,3Parking Spaces,"70,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"100,000,000"
5 bedroom detached duplex for sale,"Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"115,000,000"
5 bedroom detached duplex for sale,"Agungi, Lekki, Lagos",5Bedrooms,6Bathrooms,7Toilets,4Parking Spaces,"135,000,000"
5 bedroom detached duplex for sale,"Lekki, Lagos",5Bedrooms,4Bathrooms,6Toilets,5Parking Spaces,"140,000,000"
5 bedroom detached duplex for sale,"Lekki Phase 1, Surulere, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"330,000,000"
5 bedroom detached duplex for sale,"Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"115,000,000"
5 bedroom detached duplex for sale,"Second Toll Gate, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"90,000,000"
3 bedroom house for sale,"Ikate, Lekki Phase 1, Lekki, Lagos",3Bedrooms,3Bathrooms,3Toilets,Save,"110,000,000"
5 bedroom detached duplex for sale,"Osapa, Lekki, Lagos",5Bedrooms,6Bathrooms,7Toilets,5Parking Spaces,"370,000,000"
4 bedroom detached duplex for sale,"Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,4Parking Spaces,"80,000,000"
4 bedroom detached duplex for sale,"Ikota Villa Estate, Ikota, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,3Parking Spaces,"55,000,000"
3 bedroom terraced duplex for sale,"Chevron, Lekki, Lagos",3Bedrooms,3Bathrooms,4Toilets,Save,"44,000,000"
5 bedroom detached duplex for sale,"Chevy View Estate, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"120,000,000"
4 bedroom semi-detached duplex for sale,"Off Orchid Hotel Road, Lekki Phase 2, Lekki, Lagos",4Bedrooms,5Bathrooms,5Toilets,3Parking Spaces,"70,000,000"
3 bedroom terraced duplex for sale,"Ibeshe, Ikorodu, Lagos",3Bedrooms,3Bathrooms,3Toilets,Save,"20,000,000"
5 bedroom semi-detached duplex for sale,"Banana Island, Ikoyi, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"650,000,000"
4 bedroom terraced duplex for sale,"Victoria Island (VI), Lagos",4Bedrooms,5Bathrooms,5Toilets,Save,"140,000,000"
4 bedroom terraced duplex for sale,"Ikate Elegushi, Lekki, Lagos",4Bedrooms,5Bathrooms,5Toilets,3Parking Spaces,"70,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"100,000,000"
5 bedroom detached duplex for sale,"Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"115,000,000"
5 bedroom detached duplex for sale,"Agungi, Lekki, Lagos",5Bedrooms,6Bathrooms,7Toilets,4Parking Spaces,"135,000,000"
5 bedroom detached duplex for sale,"Lekki, Lagos",5Bedrooms,4Bathrooms,6Toilets,5Parking Spaces,"140,000,000"
5 bedroom detached duplex for sale,"Lekki Phase 1, Surulere, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"330,000,000"
5 bedroom detached duplex for sale,"Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"115,000,000"
5 bedroom detached duplex for sale,"Second Toll Gate, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"90,000,000"
3 bedroom house for sale,"Ikate, Lekki Phase 1, Lekki, Lagos",3Bedrooms,3Bathrooms,3Toilets,Save,"110,000,000"
5 bedroom detached duplex for sale,"Osapa, Lekki, Lagos",5Bedrooms,6Bathrooms,7Toilets,5Parking Spaces,"370,000,000"
4 bedroom detached duplex for sale,"Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,4Parking Spaces,"80,000,000"
4 bedroom detached duplex for sale,"Ikota Villa Estate, Ikota, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,3Parking Spaces,"55,000,000"
3 bedroom terraced duplex for sale,"Chevron, Lekki, Lagos",3Bedrooms,3Bathrooms,4Toilets,Save,"44,000,000"
5 bedroom detached duplex for sale,"Chevy View Estate, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"120,000,000"
4 bedroom semi-detached duplex for sale,"Off Orchid Hotel Road, Lekki Phase 2, Lekki, Lagos",4Bedrooms,5Bathrooms,5Toilets,3Parking Spaces,"70,000,000"
3 bedroom terraced duplex for sale,"Ibeshe, Ikorodu, Lagos",3Bedrooms,3Bathrooms,3Toilets,Save,"20,000,000"
5 bedroom semi-detached duplex for sale,"Banana Island, Ikoyi, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"650,000,000"
4 bedroom terraced duplex for sale,"Victoria Island (VI), Lagos",4Bedrooms,5Bathrooms,5Toilets,Save,"140,000,000"
4 bedroom terraced duplex for sale,"Ikate Elegushi, Lekki, Lagos",4Bedrooms,5Bathrooms,5Toilets,3Parking Spaces,"70,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"100,000,000"
5 bedroom detached duplex for sale,"Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"115,000,000"
5 bedroom detached duplex for sale,"Agungi, Lekki, Lagos",5Bedrooms,6Bathrooms,7Toilets,4Parking Spaces,"135,000,000"
5 bedroom detached duplex for sale,"Lekki, Lagos",5Bedrooms,4Bathrooms,6Toilets,5Parking Spaces,"140,000,000"
5 bedroom detached duplex for sale,"Lekki Phase 1, Surulere, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"330,000,000"
5 bedroom detached duplex for sale,"Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"115,000,000"
5 bedroom detached duplex for sale,"Second Toll Gate, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"90,000,000"
3 bedroom house for sale,"Ikate, Lekki Phase 1, Lekki, Lagos",3Bedrooms,3Bathrooms,3Toilets,Save,"110,000,000"
5 bedroom detached duplex for sale,"Osapa, Lekki, Lagos",5Bedrooms,6Bathrooms,7Toilets,5Parking Spaces,"370,000,000"
4 bedroom detached duplex for sale,"Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,4Parking Spaces,"80,000,000"
4 bedroom detached duplex for sale,"Ikota Villa Estate, Ikota, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,3Parking Spaces,"55,000,000"
3 bedroom terraced duplex for sale,"Chevron, Lekki, Lagos",3Bedrooms,3Bathrooms,4Toilets,Save,"44,000,000"
5 bedroom detached duplex for sale,"Chevy View Estate, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"120,000,000"
4 bedroom semi-detached duplex for sale,"Off Orchid Hotel Road, Lekki Phase 2, Lekki, Lagos",4Bedrooms,5Bathrooms,5Toilets,3Parking Spaces,"70,000,000"
3 bedroom terraced duplex for sale,"Ibeshe, Ikorodu, Lagos",3Bedrooms,3Bathrooms,3Toilets,Save,"20,000,000"
5 bedroom semi-detached duplex for sale,"Banana Island, Ikoyi, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"650,000,000"
4 bedroom terraced duplex for sale,"Victoria Island (VI), Lagos",4Bedrooms,5Bathrooms,5Toilets,Save,"140,000,000"
4 bedroom terraced duplex for sale,"Ikate Elegushi, Lekki, Lagos",4Bedrooms,5Bathrooms,5Toilets,3Parking Spaces,"70,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"100,000,000"
5 bedroom detached duplex for sale,"Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"115,000,000"
5 bedroom detached duplex for sale,"Agungi, Lekki, Lagos",5Bedrooms,6Bathrooms,7Toilets,4Parking Spaces,"135,000,000"
5 bedroom detached duplex for sale,"Lekki, Lagos",5Bedrooms,4Bathrooms,6Toilets,5Parking Spaces,"140,000,000"
5 bedroom detached duplex for sale,"Lekki Phase 1, Surulere, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"330,000,000"
5 bedroom detached duplex for sale,"Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"115,000,000"
5 bedroom detached duplex for sale,"Second Toll Gate, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"90,000,000"
3 bedroom house for sale,"Ikate, Lekki Phase 1, Lekki, Lagos",3Bedrooms,3Bathrooms,3Toilets,Save,"110,000,000"
5 bedroom detached duplex for sale,"Osapa, Lekki, Lagos",5Bedrooms,6Bathrooms,7Toilets,5Parking Spaces,"370,000,000"
4 bedroom detached duplex for sale,"Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,4Parking Spaces,"80,000,000"
4 bedroom detached duplex for sale,"Ikota Villa Estate, Ikota, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,3Parking Spaces,"55,000,000"
3 bedroom terraced duplex for sale,"Chevron, Lekki, Lagos",3Bedrooms,3Bathrooms,4Toilets,Save,"44,000,000"
5 bedroom detached duplex for sale,"Chevy View Estate, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"120,000,000"
4 bedroom semi-detached duplex for sale,"Off Orchid Hotel Road, Lekki Phase 2, Lekki, Lagos",4Bedrooms,5Bathrooms,5Toilets,3Parking Spaces,"70,000,000"
3 bedroom terraced duplex for sale,"Ibeshe, Ikorodu, Lagos",3Bedrooms,3Bathrooms,3Toilets,Save,"20,000,000"
5 bedroom semi-detached duplex for sale,"Banana Island, Ikoyi, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"650,000,000"
4 bedroom terraced duplex for sale,"Victoria Island (VI), Lagos",4Bedrooms,5Bathrooms,5Toilets,Save,"140,000,000"
4 bedroom terraced duplex for sale,"Ikate Elegushi, Lekki, Lagos",4Bedrooms,5Bathrooms,5Toilets,3Parking Spaces,"70,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"100,000,000"
5 bedroom detached duplex for sale,"Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"115,000,000"
5 bedroom detached duplex for sale,"Agungi, Lekki, Lagos",5Bedrooms,6Bathrooms,7Toilets,4Parking Spaces,"135,000,000"
5 bedroom detached duplex for sale,"Lekki, Lagos",5Bedrooms,4Bathrooms,6Toilets,5Parking Spaces,"140,000,000"
5 bedroom detached duplex for sale,"Lekki Phase 1, Surulere, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"330,000,000"
5 bedroom detached duplex for sale,"Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"115,000,000"
5 bedroom detached duplex for sale,"Second Toll Gate, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"90,000,000"
3 bedroom house for sale,"Ikate, Lekki Phase 1, Lekki, Lagos",3Bedrooms,3Bathrooms,3Toilets,Save,"110,000,000"
